Question,options,Correct Answer,Difficulty,Category
What does the 'else' statement do?,"""Skips the current iteration and moves to the next one.,Executes a block of code if the 'if' condition is false.,The 'if' keyword.,A loop that never ends unless externally interrupted.""",Executes a block of code if the 'if' condition is false.,1,Python
What is method overriding in Python?,"""Hiding internal object details and showing only necessary parts.,Redefining a method in a subclass that exists in the parent class.,The ability to use a common interface for different data types.,The instance calling the method.""",Redefining a method in a subclass that exists in the parent class.,3,Python
What is variable shadowing in Python?,"""Using the equals sign (=),e.g.,x = 10.,When a local variable has the same name as a global variable.,No,variable names cannot start with a number.,No,only letters,numbers,and underscores are allowed.""",When a local variable has the same name as a global variable.,3,Python
Can you nest control flow statements in Python?,"""Yes,control flow statements can be nested inside each other.,It runs as long as a condition is true.,To manage the order in which code is executed.,It exits the loop immediately.""","Yes, control flow statements can be nested inside each other.",3,Python
Can you use nested loops in a list comprehension?,"""Yes,list comprehensions can have nested loops.,A concise way to create lists using a single line of code.,The comprehension raises an exception at runtime.,[x**2 for x in range(10)]""","Yes, list comprehensions can have nested loops.",3,Python
What is the base class for all exceptions in Python?,"""Using the raise statement.,BaseException,Yes,using multiple except blocks or a tuple of exceptions.,try""",BaseException,3,Python
What is a lambda function in Python?,"""Yes,they can be defined and used locally.,5 [ Five ],Yes,functions can return lambda expressions.,An anonymous function defined with the lambda keyword.""",An anonymous function defined with the lambda keyword.,1,Python
Are list comprehensions more efficient than for loops?,"""Square brackets [].,Yes,using an 'if' clause.,['A','B','C'],Yes,they are generally more concise and faster.""","Yes, they are generally more concise and faster.",2,Python
What block is executed if an error occurs in try block?,"""BaseException,except,Yes,by using except Exception as e.,try""",except,1,Python
What is Object-Oriented Programming (OOP)?,"""The ability to use a common interface for different data types.,The 'class' keyword.,By calling the class name followed by parentheses.,A programming paradigm based on the concept of objects.""",A programming paradigm based on the concept of objects.,1,Python
Can sets contain duplicate values?,"""No,sets only store unique values.,Lists are mutable,tuples are immutable.,Sets store values; dictionaries store key-value pairs.,A list that contains other lists as elements.""","No, sets only store unique values.",1,Python
What is the difference between a tuple and a list?,"""An unordered collection of key-value pairs.,Using the type() function.,str (string).,Tuples are immutable,lists are mutable.""","Tuples are immutable, lists are mutable.",2,Python
How do you iterate through a dictionary?,"""Using for key,value in dict.items().,Lists are mutable,tuples are immutable.,Using curly braces or the set() function.,To store key-value pairs.""","Using for key, value in dict.items().",2,Python
What is the difference between a set and a dictionary?,"""Convert it to a set.,Sets store values; dictionaries store key-value pairs.,To store key-value pairs.,Using the corresponding key.""",Sets store values; dictionaries store key-value pairs.,3,Python
What does the sorted() function do?,"""Returns a new sorted list from the items of any iterable.,Using the max() function.,Returns the type of an object.,Using the ord() function.""",Returns a new sorted list from the items of any iterable.,2,Python
How do you define a function in Python?,"""A parameter that assumes a default value if not provided.,By writing the function name followed by parentheses.,Using the 'def' keyword.,It sends a result back to the caller.""",Using the 'def' keyword.,1,Python
What are comparison operators used for?,"""8,Checks if a value exists in a sequence.,FALSE,To compare two values and return a Boolean result.""",To compare two values and return a Boolean result.,1,Python
Which method is used to write data to a file?,"""Opens the file for writing and overwrites existing content.,The write() method.,A FileNotFoundError is raised.,The open() function.""",The write() method.,2,Python
What keyword is used to define a class in Python?,"""Hiding internal object details and showing only necessary parts.,By calling the class name followed by parentheses.,A programming paradigm based on the concept of objects.,The 'class' keyword.""",The 'class' keyword.,1,Python
How do you check the data type of a variable?,"""float.,Using the type() function.,bool.,int,float,str,bool,and NoneType.""",Using the type() function.,1,Python
What does the 'break' statement do inside a loop?,"""Checks another condition if the previous 'if' was false.,Executes a block of code if the 'if' condition is false.,It exits the loop immediately.,The 'for' loop.""",It exits the loop immediately.,2,Python
What is the standard library in Python?,"""They help organize code and avoid naming conflicts.,Using import module as alias.,A collection of modules and packages included with Python.,Using from module import function.""",A collection of modules and packages included with Python.,2,Python
What keyword is used for conditional branching in Python?,"""A loop that never ends unless externally interrupted.,Skips the current iteration and moves to the next one.,To manage the order in which code is executed.,The 'if' keyword.""",The 'if' keyword.,1,Python
How do you read the entire contents of a file at once?,"""Using the read() method.,Use a with statement (context manager).,Using a for loop on the file object.,The open() function.""",Using the read() method.,1,Python
What does the '//' operator do?,"""It determines the order in which operations are evaluated.,'=' assigns a value,'==' compares two values.,8,Performs floor division and returns the largest whole number.""",Performs floor division and returns the largest whole number.,2,Python
"What is the result of [x.upper() for x in ['a', 'b', 'c']]?","""Yes,they are generally more concise and faster.,['A','B','C'],A concise way to create lists using a single line of code.,Yes,list comprehensions can have nested loops.""","['A', 'B', 'C']",1,Python
What is a dictionary in Python?,"""Tuples are immutable,lists are mutable.,float.,int,float,str,bool,and NoneType.,An unordered collection of key-value pairs.""",An unordered collection of key-value pairs.,2,Python
What is the scope of a variable declared inside a function?,"""When a local variable has the same name as a global variable.,It is local to that function.,It allows a variable to be used globally across functions.,No,only letters,numbers,and underscores are allowed.""",It is local to that function.,2,Python
How do you create an object from a class?,"""The ability to use a common interface for different data types.,To initialize an objectÕs attributes.,By calling the class name followed by parentheses.,An instance of a class.""",By calling the class name followed by parentheses.,1,Python
How do you create a set in Python?,"""Convert it to a set.,Sets store values; dictionaries store key-value pairs.,List,Tuple,Set,Dictionary,Using curly braces or the set() function.""",Using curly braces or the set() function.,1,Python
What is the LEGB rule in Python?,"""It defines the lookup order: Local,Enclosing,Global,Built-in.,It refers to a variable in the nearest enclosing scope.,A container that maps names to objects.,By declaring it with the 'global' keyword.""","It defines the lookup order: Local, Enclosing, Global, Built-in.",2,Python
Can you access a variable outside its scope?,"""It defines the lookup order: Local,Enclosing,Global,Built-in.,It refers to a variable in the nearest enclosing scope.,Local,Enclosing,Global,and Built-in (LEGB).,No,accessing a variable outside its scope raises a NameError.""","No, accessing a variable outside its scope raises a NameError.",2,Python
What does the 'continue' statement do?,"""Skips the current iteration and moves to the next one.,The 'for' loop.,It exits the loop immediately.,A loop that never ends unless externally interrupted.""",Skips the current iteration and moves to the next one.,2,Python
What is the purpose of control flow in Python?,"""The 'if' keyword.,It exits the loop immediately.,A loop that never ends unless externally interrupted.,To manage the order in which code is executed.""",To manage the order in which code is executed.,1,Python
What are the four types of variable scope in Python?,"""Local,Enclosing,Global,and Built-in (LEGB).,The region of a program where a variable is accessible.,By declaring it with the 'global' keyword.,It contains built-in functions and exceptions available everywhere.""","Local, Enclosing, Global, and Built-in (LEGB).",2,Python
What does the 'finally' block do?,"""Executes code no matter what,even if an error occurs.,except,Executes if no exceptions are raised in the try block.,Yes,using multiple except blocks or a tuple of exceptions.""","Executes code no matter what, even if an error occurs.",2,Python
How do you get the maximum value from a list?,"""Using the max() function.,Aggregates elements from two or more iterables into tuples.,Takes input from the user as a string.,Using the ord() function.""",Using the max() function.,1,Python
How do you use a lambda function with map()?,"""By using assignment,e.g.,f = lambda x: x + 1,5 [ Five ],Lambda is anonymous and can only contain a single expression.,map(lambda x: x*2,iterable)""","map(lambda x: x*2, iterable)",2,Python
What is the precedence of operators in Python?,"""'=' assigns a value,'==' compares two values.,Checks if two values are equal.,It determines the order in which operations are evaluated.,+,-,*,/,%,//,**""",It determines the order in which operations are evaluated.,3,Python
How can you loop through both index and value in a list?,"""It runs if the loop is not terminated by a break.,Using enumerate().,A loop that runs forever unless explicitly stopped.,Iterates over items of a sequence like a list or string.""",Using enumerate().,2,Python
What is the output of True and False?,"""To compare two values and return a Boolean result.,and,or,not,FALSE,Checks if two values are equal.""",FALSE,1,Python
How do you alias a module while importing?,"""Using the import statement.,Using the dir() function.,Using import module as alias.,Using from module import function.""",Using import module as alias.,2,Python
What is a variable in Python?,"""No,variable names cannot start with a number.,No,only letters,numbers,and underscores are allowed.,A variable is a name that refers to a value.,It raises a NameError.""",A variable is a name that refers to a value.,1,Python
What does the type() function return?,"""A function that is always available in Python without importing any module.,Applies a function to all items in an iterable.,Returns the type of an object.,Returns the number of items in an object.""",Returns the type of an object.,1,Python
How do you list all functions and variables in a module?,"""Yes,by writing Python code in a .py file.,Using from module import function.,Using the dir() function.,A collection of modules and packages included with Python.""",Using the dir() function.,3,Python
Can Python variables change type after assignment?,"""Yes,Python is dynamically typed.,str (string).,Using the type() function.,int,float,str,bool,and NoneType.""","Yes, Python is dynamically typed.",3,Python
What does the 'r' mode do when opening a file?,"""Opens the file for reading.,Using a for loop on the file object.,Use os.path.exists() function.,The open() function.""",Opens the file for reading.,1,Python
How do you ensure a file is properly closed after use?,"""Opens the file for appending content at the end.,A FileNotFoundError is raised.,Opens the file for writing and overwrites existing content.,Use a with statement (context manager).""",Use a with statement (context manager).,2,Python
How do you import a module in Python?,"""Using the import statement.,A collection of modules and packages included with Python.,A directory containing an init.py file and modules.,Using import module as alias.""",Using the import statement.,1,Python
How do you access a value in a dictionary?,"""To store key-value pairs.,Using the corresponding key.,Sets store values; dictionaries store key-value pairs.,Convert it to a set.""",Using the corresponding key.,1,Python
What is the result of type(3.14)?,"""Yes,Python is dynamically typed.,float.,str (string).,Using the type() function.""",float.,2,Python
What type of data is a list in Python?,"""An unordered collection of key-value pairs.,float.,int,float,str,bool,and NoneType.,list - a mutable sequence type.""",list - a mutable sequence type.,2,Python
What data type is used for true/false values?,"""float.,int,float,str,bool,and NoneType.,bool.,Yes,Python is dynamically typed.""",bool.,1,Python
What does the 'continue' statement do in a loop?,"""for loop and while loop.,Repeats as long as a condition is true.,break,Skips the current iteration and moves to the next.""",Skips the current iteration and moves to the next.,2,Python
Which function is used to open a file in Python?,"""Using the read() method.,The open() function.,A FileNotFoundError is raised.,Use os.path.exists() function.""",The open() function.,1,Python
What is an infinite loop?,"""Using for key,value in dict.items().,It runs if the loop is not terminated by a break.,Repeats as long as a condition is true.,A loop that runs forever unless explicitly stopped.""",A loop that runs forever unless explicitly stopped.,2,Python
Is it possible to catch all exceptions with one block?,"""Executes code no matter what,even if an error occurs.,Executes if no exceptions are raised in the try block.,Yes,by using except Exception as e.,FileNotFoundError""","Yes, by using except Exception as e.",3,Python
What happens if you try to open a non-existent file in 'r' mode?,"""Opens the file for writing and overwrites existing content.,A FileNotFoundError is raised.,The write() method.,The open() function.""",A FileNotFoundError is raised.,3,Python
Can loops be nested in Python?,"""Skips the current iteration and moves to the next.,Yes,one loop can be placed inside another.,for loop and while loop.,Iterates over items of a sequence like a list or string.""","Yes, one loop can be placed inside another.",2,Python
What is the purpose of the return statement in a function?,"""Yes,by returning them as a tuple.,A variable listed inside the parentheses in the function definition.,By writing the function name followed by parentheses.,It sends a result back to the caller.""",It sends a result back to the caller.,1,Python
What is the purpose of the init method in Python?,"""Redefining a method in a subclass that exists in the parent class.,The 'class' keyword.,To initialize an objectÕs attributes.,The instance calling the method.""",To initialize an objectÕs attributes.,2,Python
How do you iterate over a dictionary in a loop?,"""for loop and while loop.,A loop that runs forever unless explicitly stopped.,Using for key,value in dict.items().,Skips the current iteration and moves to the next.""","Using for key, value in dict.items().",3,Python
What is the purpose of the isinstance() function?,"""Using the ord() function.,A function that is always available in Python without importing any module.,Checks if an object is an instance of a class or a tuple of classes.,Applies a function to all items in an iterable.""",Checks if an object is an instance of a class or a tuple of classes.,2,Python
What is a package in Python?,"""Yes,by writing Python code in a .py file.,Using from module import function.,Using import module as alias.,A directory containing an init.py file and modules.""",A directory containing an init.py file and modules.,2,Python
What happens if a local variable has the same name as a global variable?,"""It defines the lookup order: Local,Enclosing,Global,Built-in.,A container that maps names to objects.,It contains built-in functions and exceptions available everywhere.,The local variable shadows the global one in its scope.""",The local variable shadows the global one in its scope.,2,Python
What are the built-in data structures in Python?,"""List,Tuple,Set,Dictionary,To store key-value pairs.,No,sets only store unique values.,Convert it to a set.""","List, Tuple, Set, Dictionary",1,Python
Can list comprehensions include conditions?,"""Square brackets [].,Yes,using an 'if' clause.,[item for sublist in lst for item in sublist],[x**2 for x in range(10)]""","Yes, using an 'if' clause.",2,Python
What does the 'global' keyword do in Python?,"""When a local variable has the same name as a global variable.,A variable that is meant to stay unchanged,usually written in uppercase.,No,only letters,numbers,and underscores are allowed.,It allows a variable to be used globally across functions.""",It allows a variable to be used globally across functions.,2,Python
What does the map() function do?,"""Returns a new sorted list from the items of any iterable.,Applies a function to all items in an iterable.,A function that is always available in Python without importing any module.,Returns the type of an object.""",Applies a function to all items in an iterable.,3,Python
What does the 'else' block do in exception handling?,"""Executes if no exceptions are raised in the try block.,Yes,using multiple except blocks or a tuple of exceptions.,A way to handle errors gracefully without crashing the program.,except""",Executes if no exceptions are raised in the try block.,3,Python
What is list comprehension in Python?,"""A concise way to create lists using a single line of code.,[x**2 for x in range(10)],Square brackets [].,Yes,they are generally more concise and faster.""",A concise way to create lists using a single line of code.,1,Python
What does 'self' refer to in a class method?,"""The 'class' keyword.,An instance of a class.,Redefining a method in a subclass that exists in the parent class.,The instance calling the method.""",The instance calling the method.,2,Python
What is a namespace in Python?,"""It contains built-in functions and exceptions available everywhere.,Local,Enclosing,Global,and Built-in (LEGB).,By declaring it with the 'global' keyword.,A container that maps names to objects.""",A container that maps names to objects.,1,Python
Can lambda functions be used inside other functions?,"""filter(lambda x: x > 0,iterable),Yes,they can be defined and used locally.,An anonymous function defined with the lambda keyword.,No,it can have only one expression.""","Yes, they can be defined and used locally.",3,Python
What is inheritance in Python?,"""The instance calling the method.,A mechanism to create a new class from an existing class.,The 'class' keyword.,Hiding internal object details and showing only necessary parts.""",A mechanism to create a new class from an existing class.,2,Python
What is a parameter in a function?,"""Using the 'def' keyword.,A parameter that assumes a default value if not provided.,A parameter is in the function definition; an argument is the value passed.,A variable listed inside the parentheses in the function definition.""",A variable listed inside the parentheses in the function definition.,2,Python
What is a constant variable in Python?,"""When a local variable has the same name as a global variable.,It allows a variable to be used globally across functions.,No,variable names cannot start with a number.,A variable that is meant to stay unchanged,usually written in uppercase.""","A variable that is meant to stay unchanged, usually written in uppercase.",3,Python
What does the 'a' mode do when opening a file?,"""Opens the file for appending content at the end.,The open() function.,Use os.path.exists() function.,Using a for loop on the file object.""",Opens the file for appending content at the end.,2,Python
What is the syntax of a lambda function?,"""An anonymous function defined with the lambda keyword.,Yes,functions can return lambda expressions.,lambda arguments: expression,Lambda is anonymous and can only contain a single expression.""",lambda arguments: expression,1,Python
What is the use of the 'else' block in a loop?,"""It runs if the loop is not terminated by a break.,A loop that runs forever unless explicitly stopped.,for loop and while loop.,break""",It runs if the loop is not terminated by a break.,3,Python
How can you access a global variable inside a function?,"""A container that maps names to objects.,Local,Enclosing,Global,and Built-in (LEGB).,By declaring it with the 'global' keyword.,It defines the lookup order: Local,Enclosing,Global,Built-in.""",By declaring it with the 'global' keyword.,2,Python
Can you handle multiple exceptions in one block?,"""BaseException,Yes,by using except Exception as e.,Executes if no exceptions are raised in the try block.,Yes,using multiple except blocks or a tuple of exceptions.""","Yes, using multiple except blocks or a tuple of exceptions.",2,Python
What exception is raised when a file is not found?,"""Yes,by using except Exception as e.,FileNotFoundError,Yes,using multiple except blocks or a tuple of exceptions.,Executes if no exceptions are raised in the try block.""",FileNotFoundError,2,Python
What are the two main types of loops in Python?,"""break,Using for key,value in dict.items().,for loop and while loop.,Repeats as long as a condition is true.""",for loop and while loop.,1,Python
Can variable names contain special characters like @ or #?,"""A variable that is meant to stay unchanged,usually written in uppercase.,A variable is a name that refers to a value.,No,only letters,numbers,and underscores are allowed.,It allows a variable to be used globally across functions.""","No, only letters, numbers, and underscores are allowed.",3,Python
What is the role of the 'elif' keyword?,"""Skips the current iteration and moves to the next one.,Checks another condition if the previous 'if' was false.,Executes a block of code if the 'if' condition is false.,To manage the order in which code is executed.""",Checks another condition if the previous 'if' was false.,2,Python
What is the difference between a parameter and an argument?,"""A value passed to a function when calling it.,Using the 'def' keyword.,A parameter that assumes a default value if not provided.,A parameter is in the function definition; an argument is the value passed.""",A parameter is in the function definition; an argument is the value passed.,3,Python
What is a nested list?,"""To store key-value pairs.,List,Tuple,Set,Dictionary,A list that contains other lists as elements.,Sets store values; dictionaries store key-value pairs.""",A list that contains other lists as elements.,2,Python
How can you check the type of a variable?,"""It allows a variable to be used globally across functions.,No,variable names cannot start with a number.,Using the equals sign (=),e.g.,x = 10.,Using the type() function.""",Using the type() function.,1,Python
How does a 'while' loop work?,"""A loop that never ends unless externally interrupted.,It runs as long as a condition is true.,It exits the loop immediately.,Executes a block of code if the 'if' condition is false.""",It runs as long as a condition is true.,2,Python
What is polymorphism in Python OOP?,"""To initialize an objectÕs attributes.,The 'class' keyword.,The ability to use a common interface for different data types.,The instance calling the method.""",The ability to use a common interface for different data types.,3,Python
How is a lambda function different from a def function?,"""lambda arguments: expression,filter(lambda x: x > 0,iterable),Lambda is anonymous and can only contain a single expression.,map(lambda x: x*2,iterable)""",Lambda is anonymous and can only contain a single expression.,2,Python
How do you raise a custom exception?,"""Using the raise statement.,Executes code no matter what,even if an error occurs.,Yes,using multiple except blocks or a tuple of exceptions.,A way to handle errors gracefully without crashing the program.""",Using the raise statement.,2,Python
What happens if you try to use a variable before assigning it?,"""Using the type() function.,It raises a NameError.,Using the equals sign (=),e.g.,x = 10.,It is local to that function.""",It raises a NameError.,2,Python
How do you call a function in Python?,"""By writing the function name followed by parentheses.,A function that calls itself.,Yes,by returning them as a tuple.,A parameter is in the function definition; an argument is the value passed.""",By writing the function name followed by parentheses.,1,Python
What is the result of 2 ** 3 in Python?,"""Checks if two values are equal.,8,It determines the order in which operations are evaluated.,Checks if a value exists in a sequence.""",8,1,Python
Can a variable name start with a number in Python?,"""No,variable names cannot start with a number.,Using the equals sign (=),e.g.,x = 10.,No,only letters,numbers,and underscores are allowed.,It raises a NameError.""","No, variable names cannot start with a number.",1,Python
What is the purpose of init.py file?,"""A file containing Python definitions and statements.,Using the import statement.,They help organize code and avoid naming conflicts.,It marks a directory as a Python package.""",It marks a directory as a Python package.,2,Python
What does [x for x in range(10) if x % 2 == 0] produce?,"""[x**2 for x in range(10)],The comprehension raises an exception at runtime.,A list of even numbers from 0 to 9.,[item for sublist in lst for item in sublist]""",A list of even numbers from 0 to 9.,2,Python
How do you remove duplicates from a list?,"""A list that contains other lists as elements.,Using curly braces or the set() function.,No,sets only store unique values.,Convert it to a set.""",Convert it to a set.,2,Python
Which symbols are used to define a list comprehension?,"""[item for sublist in lst for item in sublist],Square brackets [].,The comprehension raises an exception at runtime.,['A','B','C']""",Square brackets [].,1,Python
What is an argument in a function call?,"""A variable listed inside the parentheses in the function definition.,It sends a result back to the caller.,A parameter is in the function definition; an argument is the value passed.,A value passed to a function when calling it.""",A value passed to a function when calling it.,2,Python
How can you read a file line by line?,"""Using a for loop on the file object.,The write() method.,Using the read() method.,Use os.path.exists() function.""",Using a for loop on the file object.,2,Python
Can a function return multiple values?,"""It sends a result back to the caller.,Yes,by returning them as a tuple.,A value passed to a function when calling it.,A parameter is in the function definition; an argument is the value passed.""","Yes, by returning them as a tuple.",2,Python
Can you create your own modules in Python?,"""Yes,by writing Python code in a .py file.,Using import module as alias.,A directory containing an init.py file and modules.,They help organize code and avoid naming conflicts.""","Yes, by writing Python code in a .py file.",1,Python
How does the zip() function work?,"""Takes input from the user as a string.,Aggregates elements from two or more iterables into tuples.,Applies a function to all items in an iterable.,Returns the type of an object.""",Aggregates elements from two or more iterables into tuples.,2,Python
What is scope in Python?,"""Local,Enclosing,Global,and Built-in (LEGB).,The local variable shadows the global one in its scope.,The region of a program where a variable is accessible.,No,accessing a variable outside its scope raises a NameError.""",The region of a program where a variable is accessible.,1,Python
What is a module in Python?,"""It marks a directory as a Python package.,A directory containing an init.py file and modules.,A file containing Python definitions and statements.,Using from module import function.""",A file containing Python definitions and statements.,1,Python
What does a 'while' loop do in Python?,"""Using for key,value in dict.items().,Repeats as long as a condition is true.,for loop and while loop.,A loop that runs forever unless explicitly stopped.""",Repeats as long as a condition is true.,1,Python
What does the 'w' mode do when opening a file?,"""Opens the file for writing and overwrites existing content.,A FileNotFoundError is raised.,Use os.path.exists() function.,Opens the file for reading.""",Opens the file for writing and overwrites existing content.,1,Python
What happens if the expression in a list comprehension causes an error?,"""The comprehension raises an exception at runtime.,A list of even numbers from 0 to 9.,['A','B','C'],A concise way to create lists using a single line of code.""",The comprehension raises an exception at runtime.,3,Python
What does a 'for' loop do in Python?,"""A loop that runs forever unless explicitly stopped.,Iterates over items of a sequence like a list or string.,break,Using enumerate().""",Iterates over items of a sequence like a list or string.,1,Python
How do you check if a file exists before opening it?,"""A FileNotFoundError is raised.,Opens the file for writing and overwrites existing content.,Use os.path.exists() function.,Use a with statement (context manager).""",Use os.path.exists() function.,3,Python
What is the built-in namespace in Python?,"""No,accessing a variable outside its scope raises a NameError.,It refers to a variable in the nearest enclosing scope.,It contains built-in functions and exceptions available everywhere.,The local variable shadows the global one in its scope.""",It contains built-in functions and exceptions available everywhere.,3,Python
What does the 'in' operator do?,"""Checks if a value exists in a sequence.,+,-,*,/,%,//,**,and,or,not,8""",Checks if a value exists in a sequence.,2,Python
What is the difference between a list and a tuple?,"""A list that contains other lists as elements.,Lists are mutable,tuples are immutable.,Using curly braces or the set() function.,To store key-value pairs.""","Lists are mutable, tuples are immutable.",2,Python
What is the type of value returned by the input() function?,"""bool.,Yes,Python is dynamically typed.,str (string).,int,float,str,bool,and NoneType.""",str (string).,1,Python
How would you flatten a 2D list using list comprehension?,"""A concise way to create lists using a single line of code.,Square brackets [].,[item for sublist in lst for item in sublist],[x**2 for x in range(10)]""",[item for sublist in lst for item in sublist],3,Python
What does the input() function do?,"""Takes input from the user as a string.,A function that is always available in Python without importing any module.,Returns the type of an object.,Returns a new sorted list from the items of any iterable.""",Takes input from the user as a string.,1,Python
What is exception handling in Python?,"""Executes code no matter what,even if an error occurs.,FileNotFoundError,Yes,using multiple except blocks or a tuple of exceptions.,A way to handle errors gracefully without crashing the program.""",A way to handle errors gracefully without crashing the program.,1,Python
What is encapsulation in OOP?,"""To initialize an objectÕs attributes.,An instance of a class.,Hiding internal object details and showing only necessary parts.,Redefining a method in a subclass that exists in the parent class.""",Hiding internal object details and showing only necessary parts.,3,Python
What is a built-in function in Python?,"""A function that is always available in Python without importing any module.,Returns the type of an object.,Applies a function to all items in an iterable.,Aggregates elements from two or more iterables into tuples.""",A function that is always available in Python without importing any module.,1,Python
How do you assign a value to a variable in Python?,"""Using the type() function.,A variable is a name that refers to a value.,It allows a variable to be used globally across functions.,Using the equals sign (=),e.g.,x = 10.""","Using the equals sign (=), e.g., x = 10.",1,Python
How would you create a list of squares from 0 to 9 using list comprehension?,"""Square brackets [].,Yes,they are generally more concise and faster.,[x**2 for x in range(10)],A concise way to create lists using a single line of code.""",[x**2 for x in range(10)],2,Python
What keyword is used to handle exceptions?,"""Yes,by using except Exception as e.,Using the raise statement.,try,BaseException""",try,1,Python
What are logical operators in Python?,"""and,or,not,It determines the order in which operations are evaluated.,Checks if two values are equal.,To compare two values and return a Boolean result.""","and, or, not",1,Python
What are arithmetic operators in Python?,"""and,or,not,To compare two values and return a Boolean result.,+,-,*,/,%,//,**,Performs floor division and returns the largest whole number.""","+, -, *, /, %, //, **",1,Python
What is a default parameter in Python functions?,"""Yes,by returning them as a tuple.,A variable listed inside the parentheses in the function definition.,By writing the function name followed by parentheses.,A parameter that assumes a default value if not provided.""",A parameter that assumes a default value if not provided.,2,Python
What does the 'nonlocal' keyword do?,"""No,accessing a variable outside its scope raises a NameError.,Local,Enclosing,Global,and Built-in (LEGB).,It declares that a variable inside a function is global.,It refers to a variable in the nearest enclosing scope.""",It refers to a variable in the nearest enclosing scope.,3,Python
How do you assign a lambda function to a variable?,"""filter(lambda x: x > 0,iterable),No,it can have only one expression.,By using assignment,e.g.,f = lambda x: x + 1,Lambda is anonymous and can only contain a single expression.""","By using assignment, e.g., f = lambda x: x + 1",2,Python
What is the primary use of a dictionary in Python?,"""To store key-value pairs.,Using the corresponding key.,Using curly braces or the set() function.,Lists are mutable,tuples are immutable.""",To store key-value pairs.,1,Python
How do you find the ASCII value of a character in Python?,"""Checks if an object is an instance of a class or a tuple of classes.,Using the max() function.,Aggregates elements from two or more iterables into tuples.,Using the ord() function.""",Using the ord() function.,3,Python
What are the basic data types in Python?,"""int,float,str,bool,and NoneType.,bool.,str (string).,Yes,Python is dynamically typed.""","int, float, str, bool, and NoneType.",1,Python
"What is the output of lambda x, y: x + y when called with 2 and 3?","""map(lambda x: x*2,iterable),Lambda is anonymous and can only contain a single expression.,5 [ Five ],No,it can have only one expression.""",5 [ Five ],1,Python
What is the difference between '=' and '=='?,"""+,-,*,/,%,//,**,It determines the order in which operations are evaluated.,To compare two values and return a Boolean result.,'=' assigns a value,'==' compares two values.""","'=' assigns a value, '==' compares two values.",2,Python
What type of loop is used to iterate over a sequence?,"""The 'for' loop.,Executes a block of code if the 'if' condition is false.,Checks another condition if the previous 'if' was false.,Skips the current iteration and moves to the next one.""",The 'for' loop.,1,Python
What keyword is used to exit a loop prematurely?,"""Using enumerate().,for loop and while loop.,Skips the current iteration and moves to the next.,break""",break,1,Python
What does the '==' operator check?,"""8,'=' assigns a value,'==' compares two values.,Performs floor division and returns the largest whole number.,Checks if two values are equal.""",Checks if two values are equal.,1,Python
